pos	intro
29441	0.392703704
30789	0.392703704
30838	0.392703704
31028	0.392703704
31326	0.392703704
31961	0.392703704
32233	0.392703704
32475	0.392703704
139753	0.392703704
139810	0.392703704
139871	0.392703704
140209	0.392703704
596470	0.392703704
608683	0.392703704
609379	0.392703704
662422	0.349777778
691411	0.320074074
695850	0.315074074
695932	0.315074074
764133	0.232111111
766291	0.229111111
813946	0.161296296
825132	0.147222222
832195	0.13437037
837802	0.131962963
840215	0.131962963
840314	0.131962963
843215	0.131962963
843218	0.131962963
844120	0.131962963
844666	0.131962963
845564	0.133592593
1047561	0.203407407
1070264	0.233259259
1075235	0.239962963
1075338	0.239925926
1093747	0.258259259
1150893	0.278222222
1151547	0.278296296
1220753	0.249592593
1222288	0.248333333
1222568	0.248037037
1254252	0.265703704
1255163	0.265703704
1255529	0.260333333
1264828	0.260333333
1265191	0.260333333
1265285	0.260333333
1461490	0.260333333
1482992	0.260333333
1485494	0.260333333
1493100	0.260333333
1510294	0.260333333
1512170	0.260333333
1549150	0.260333333
1870690	0.260333333
1881160	0.260333333
1881207	0.260333333
1882905	0.260333333
1883270	0.260333333
1986674	0.260333333
2114197	0.300074074
2114294	0.3
2408212	0.372296296
2409577	0.372296296
2424611	0.372296296
2482323	0.385
2526167	0.337407407
2526197	0.337407407
2526276	0.337037037
2653924	0.235444444
2664737	0.205888889
2674156	0.176518519
2674172	0.176518519
2674629	0.176518519
2681396	0.173037037
2682438	0.172666667
2694254	0.162592593
2762142	0.133333333
2765157	0.133
2766471	0.133333333
2833183	0.188
2834624	0.188
2834811	0.188
2835898	0.188
2836560	0.188
2855080	0.300259259
2865776	0.314851852
2888161	0.332037037
2888238	0.332
2980645	0.361111111
2997685	0.351148148
2998277	0.351037037
2999034	0.350851852
3046940	0.383296296
3048559	0.383518519
3109903	0.391037037
3140718	0.383
3246126	0.341111111
3246263	0.340814815
3257533	0.320592593
3257611	0.320592593
3260709	0.279481481
3261806	0.276074074
3398925	0.327481481
3407887	0.329259259
3411940	0.330481481
3412057	0.330592593
3452186	0.347111111
3458242	0.347111111
3461132	0.347111111
3461745	0.347111111
3462453	0.347111111
3462904	0.347111111
3462992	0.347111111
3463028	0.347111111
3463205	0.347111111
3465322	0.347111111
3477883	0.232518519
3482349	0.228259259
3515393	0.243259259
3595187	0.278333333
3596029	0.278814815
3746664	0.364111111
3752584	0.376148148
3753007	0.377
3753114	0.377037037
3890824	0.401518519
3892482	0.401666667
4057478	0.356740741
4244725	0.346444444
4322559	0.346444444
4325700	0.346444444
4477805	0.18237037
4479253	0.179888889
4487254	0.178740741
4621997	0.191777778
4622706	0.191777778
4686236	0.191777778
4862353	0.288555556
4866374	0.288555556
4908092	0.402222222
4910161	0.402740741
5002598	0.365
5007242	0.363333333
5010683	0.362222222
5010855	0.362074074
5198472	0.332666667
5243745	0.318
5246710	0.318
5266889	0.382111111
5306559	0.378555556
5466640	0.407407407
5707187	0.372962963
5709812	0.37237037
5823602	0.375259259
5990508	0.409037037
6109125	0.397407407
6386989	0.181703704
6410813	0.132925926
6411812	0.132925926
6412404	0.132925926
6412557	0.132925926
6412578	0.132925926
6412821	0.132925926
6413193	0.132925926
6413238	0.132925926
6439018	0.145925926
6532693	0.13337037
6545029	0.129185185
6551077	0.129185185
6551184	0.129185185
6551185	0.129185185
6553720	0.129185185
6554048	0.129185185
6600076	0.133925926
6625084	0.129259259
6686320	0.138259259
6946963	0.139481481
7007998	0.124962963
7016560	0.118259259
7155405	0.185222222
7172555	0.188407407
7174847	0.190444444
7263920	0.191222222
7313892	0.137111111
7436345	0.065
7437223	0.064518519
7448481	0.056259259
7468959	0.04537037
7566111	0.04537037
7567350	0.04537037
7618125	0.04537037
7618284	0.04537037
9350736	0.048333333
9350964	0.048333333
9353851	0.048481481
